genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
"[12, 16, 35, 10751]",en,12.101,Storks,6.5,1308,WB,72700000.0,110700000.0,2016,"Sep 23, 2016",70000000,183353431,"['Adventure', 'Animation', 'Comedy', 'Family']"
"[27, 53]",en,11.823,Ouija: Origin of Evil,6.0,1416,Uni.,35100000.0,46600000.0,2016,"Oct 21, 2016",9000000,81831866,"['Horror', 'Thriller']"
"[53, 27, 9648]",en,11.787,The Neon Demon,6.6,2005,BG,1300000.0,0.0,2016,"Jun 24, 2016",7500000,3559803,"['Thriller', 'Horror', 'Mystery']"
[35],en,11.676,Mike and Dave Need Wedding Dates,6.0,1552,Fox,46000000.0,31100000.0,2016,"Jul 8, 2016",33000000,75898100,['Comedy']
"[35, 18]",en,11.546,The Edge of Seventeen,7.2,2224,STX,14400000.0,4400000.0,2016,"Nov 18, 2016",9000000,19096003,"['Comedy', 'Drama']"
"[35, 18, 36, 12]",en,11.483,Eddie the Eagle,7.2,1190,Fox,15800000.0,30400000.0,2016,"Feb 26, 2016",23000000,45060480,"['Comedy', 'Drama', 'History', 'Adventure']"
[35],en,11.442,The Boss,5.8,822,Uni.,63300000.0,15600000.0,2016,"Apr 8, 2016",29000000,78652207,['Comedy']
[35],en,11.432,Dirty Grandpa,5.8,2667,LGF,35600000.0,58500000.0,2016,"Jan 22, 2016",11500000,105078449,['Comedy']
"[53, 18]",en,11.134,Money Monster,6.4,1859,TriS,41000000.0,52300000.0,2016,"May 13, 2016",27000000,93466095,"['Thriller', 'Drama']"
"[18, 14]",en,11.128,A Monster Calls,7.1,1918,Focus,3700000.0,43600000.0,2016,"Jan 6, 2017",43000000,46414530,"['Drama', 'Fantasy']"
"[35, 18]",en,11.055,A Hologram for the King,5.9,589,RAtt.,4200000.0,0.0,2016,"Apr 22, 2016",35000000,11846010,"['Comedy', 'Drama']"
"[12, 18, 36]",en,11.048,The Lost City of Z,6.2,1397,BST,8600000.0,10700000.0,2017,"Apr 14, 2017",30000000,17121823,"['Adventure', 'Drama', 'History']"
[35],en,10.729,Office Christmas Party,5.6,1191,Par.,54800000.0,59700000.0,2016,"Dec 9, 2016",45000000,91323299,['Comedy']
"[27, 9648, 53, 80]",en,10.713,Regression,5.5,1065,W/Dim.,55000.0,17600000.0,2016,"Oct 30, 2015",20000000,15824374,"['Horror', 'Mystery', 'Thriller', 'Crime']"
"[35, 80, 18]",en,10.654,War Dogs,6.8,2387,WB,43000000.0,43200000.0,2016,"Aug 19, 2016",50000000,86234503,"['Comedy', 'Crime', 'Drama']"
"[18, 53]",en,10.535,Shut In,5.2,374,EC,6900000.0,6200000.0,2016,"Nov 11, 2016",10000000,11360665,"['Drama', 'Thriller']"
"[28, 12, 878]",en,10.459,Hardcore Henry,6.2,1294,STX,9300000.0,7600000.0,2016,"Apr 8, 2016",2000000,17187434,"['Action', 'Adventure', 'Science Fiction']"
"[18, 53, 10752]",en,10.219,Eye in the Sky,7.1,850,BST,18700000.0,0.0,2016,"Mar 11, 2016",13000000,35402802,"['Drama', 'Thriller', 'War']"
"[18, 36]",en,10.089,Risen,5.8,433,Sony,36900000.0,9200000.0,2016,"Feb 19, 2016",20000000,46255763,"['Drama', 'History']"
[18],en,10.078,Miracles from Heaven,7.1,478,TriS,61700000.0,12200000.0,2016,"Mar 16, 2016",13000000,73798736,['Drama']
"[18, 28]",hi,10.022,Dangal,8.1,358,UTV,12400000.0,290500000.0,2016,"Dec 21, 2016",9500000,294654618,"['Drama', 'Action']"
"[35, 18, 10749, 14, 12]",en,10.0,Swiss Army Man,6.9,1789,A24,4200000.0,0.0,2016,"Jun 24, 2016",3000000,5837111,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']"
"[12, 35, 16, 10751]",en,9.909,The Secret Life of Pets,6.1,5374,Uni.,368400000.0,507100000.0,2016,"Jul 8, 2016",75000000,886750534,"['Adventure', 'Comedy', 'Animation', 'Family']"
"[53, 27]",en,9.772,Blair Witch,5.0,1094,LGF,20800000.0,24400000.0,2016,"Sep 16, 2016",10000000,38985577,"['Thriller', 'Horror']"
"[80, 18, 53]",en,9.588,The Infiltrator,6.6,943,BG,15400000.0,0.0,2016,"Jul 13, 2016",47500000,20718104,"['Crime', 'Drama', 'Thriller']"
"[35, 18, 10749]",en,9.486,Paterson,7.1,736,BST,2200000.0,0.0,2016,"Dec 28, 2016",5000000,10727536,"['Comedy', 'Drama', 'Romance']"
"[18, 36]",en,9.417,Genius,6.5,391,RAtt.,1400000.0,4300000.0,2016,"Jun 10, 2016",17000000,7265283,"['Drama', 'History']"
"[12, 16, 35, 10751]",en,9.325,Norm of the North,4.2,192,LGF,17100000.0,0.0,2016,"Jan 15, 2016",18000000,30535660,"['Adventure', 'Animation', 'Comedy', 'Family']"
"[18, 36]",en,9.267,Denial,6.7,349,BST,4099999.0,0.0,2016,"Sep 30, 2016",10000000,9263940,"['Drama', 'History']"
"[10749, 27, 35, 53]",en,9.086,Pride and Prejudice and Zombies,5.7,1195,SGem,10900000.0,5500000.0,2016,"Feb 5, 2016",28000000,16638300,"['Romance', 'Horror', 'Comedy', 'Thriller']"
"[53, 27]",en,9.078,The Other Side of the Door,5.3,470,Fox,3000000.0,11300000.0,2016,"Mar 4, 2016",5000000,12905107,"['Thriller', 'Horror']"
"[28, 35]",en,8.952,Keanu,6.0,644,WB (NL),20600000.0,0.0,2016,"Apr 29, 2016",15000000,20688141,"['Action', 'Comedy']"
